prop_min,prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.05,0.0,0.05,0.0,0.0,0.0,0.0
0.05,0.0,0.1,0.0,0.01,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.01,0.0,0.01
0.05,0.0,0.25,0.0,0.012,0.0,0.012
0.05,0.0,0.3,0.0,0.016666666666666666,0.0,0.016666666666666666
0.05,0.0,0.35,0.0,0.017142857142857144,0.0,0.017142857142857144
0.05,0.0,0.4,0.0,0.015,0.0,0.015
0.05,0.0,0.45,0.0,0.013333333333333334,0.0,0.013333333333333334
0.05,0.0,0.5,0.0,0.012,0.0,0.012
0.05,0.0,0.55,0.0,0.01090909090909091,0.0,0.01090909090909091
0.05,0.0,0.6,0.0,0.01,0.0,0.01
0.05,0.0,0.65,0.0,0.009230769230769232,0.0,0.009230769230769232
0.05,0.0,0.7,0.0,0.008571428571428572,0.0,0.008571428571428572
0.05,0.0,0.75,0.0,0.008,0.0,0.008
0.05,0.0,0.8,0.0,0.0075,0.0,0.0075
0.05,0.0,0.85,0.0,0.007058823529411765,0.0,0.007058823529411765
0.05,0.0,0.9,0.0,0.006666666666666667,0.0,0.006666666666666667
0.05,0.0,0.95,0.0,0.00631578947368421,0.0,0.00631578947368421
0.05,0.0,1.0,0.0,0.05,0.0,0.05
0.05,0.0,0.05,0.0,0.0,0.0,0.0
0.05,0.0,0.1,0.0,0.02,0.0,0.02
0.05,0.0,0.15,0.0,0.03333333333333333,0.0,0.03333333333333333
0.05,0.0,0.2,0.0,0.03,0.0,0.03
0.05,0.0,0.25,0.0,0.028,0.0,0.028
0.05,0.0,0.3,0.0,0.02666666666666667,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.022857142857142857,0.0,0.022857142857142857
0.05,0.0,0.4,0.0,0.02,0.0,0.02
0.05,0.0,0.45,0.0,0.017777777777777778,0.0,0.017777777777777778
0.05,0.0,0.5,0.0,0.016,0.0,0.016
0.05,0.0,0.55,0.0,0.014545454545454545,0.0,0.014545454545454545
