prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.01
0.05,0.0,0.25,0.0,0.012
0.05,0.0,0.3,0.0,0.016666666666666666
0.05,0.0,0.35,0.0,0.017142857142857144
0.05,0.0,0.4,0.0,0.015
0.05,0.0,0.45,0.0,0.013333333333333334
0.05,0.0,0.5,0.0,0.012
0.05,0.0,0.55,0.0,0.01090909090909091
0.05,0.0,0.6,0.0,0.01
0.05,0.0,0.65,0.0,0.009230769230769232
0.05,0.0,0.7,0.0,0.008571428571428572
0.05,0.0,0.75,0.0,0.008
0.05,0.0,0.8,0.0,0.0075
0.05,0.0,0.85,0.0,0.007058823529411765
0.05,0.0,0.9,0.0,0.006666666666666667
0.05,0.0,0.95,0.0,0.00631578947368421
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.02
0.05,0.0,0.15,0.0,0.03333333333333333
0.05,0.0,0.2,0.0,0.03
0.05,0.0,0.25,0.0,0.028
0.05,0.0,0.3,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.022857142857142857
0.05,0.0,0.4,0.0,0.02
0.05,0.0,0.45,0.0,0.017777777777777778
0.05,0.0,0.5,0.0,0.016
0.05,0.0,0.55,0.0,0.014545454545454545
0.05,0.0,0.6,0.0,0.013333333333333334
0.05,0.0,0.65,0.0,0.012307692307692308
0.05,0.0,0.7,0.0,0.011428571428571429
0.05,0.0,0.75,0.0,0.010666666666666666
0.05,0.0,0.8,0.0,0.01
0.05,0.0,0.85,0.0,0.009411764705882352
0.05,0.0,0.9,0.0,0.008888888888888889
0.05,0.0,0.95,0.0,0.008421052631578947
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.02
0.05,0.0,0.25,0.0,0.024
0.05,0.0,0.3,0.0,0.04
0.05,0.0,0.35,0.0,0.04
0.05,0.0,0.4,0.0,0.035
0.05,0.0,0.45,0.0,0.03111111111111111
0.05,0.0,0.5,0.0,0.028
0.05,0.0,0.55,0.0,0.025454545454545455
0.05,0.0,0.6,0.0,0.023333333333333334
0.05,0.0,0.65,0.0,0.021538461538461538
0.05,0.0,0.7,0.0,0.02
0.05,0.0,0.75,0.0,0.018666666666666668
0.05,0.0,0.8,0.0,0.0175
0.05,0.0,0.85,0.0,0.01647058823529412
0.05,0.0,0.9,0.0,0.015555555555555555
0.05,0.0,0.95,0.0,0.014736842105263158
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.0
0.05,0.0,0.15,0.0,0.0
0.05,0.0,0.2,0.0,0.005
0.05,0.0,0.25,0.0,0.012
0.05,0.0,0.3,0.0,0.02
0.05,0.0,0.35,0.0,0.02
0.05,0.0,0.4,0.0,0.0275
0.05,0.0,0.45,0.0,0.024444444444444446
0.05,0.0,0.5,0.0,0.022
0.05,0.0,0.55,0.0,0.02
0.05,0.0,0.6,0.0,0.018333333333333333
0.05,0.0,0.65,0.0,0.016923076923076923
0.05,0.0,0.7,0.0,0.015714285714285715
0.05,0.0,0.75,0.0,0.014666666666666666
0.05,0.0,0.8,0.0,0.01375
0.05,0.0,0.85,0.0,0.012941176470588235
0.05,0.0,0.9,0.0,0.012222222222222223
0.05,0.0,0.95,0.0,0.011578947368421053
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.0
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.02
0.05,0.0,0.25,0.0,0.024
0.05,0.0,0.3,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.03142857142857143
0.05,0.0,0.4,0.0,0.03
0.05,0.0,0.45,0.0,0.02666666666666667
0.05,0.0,0.5,0.0,0.024
0.05,0.0,0.55,0.0,0.02181818181818182
0.05,0.0,0.6,0.0,0.02
0.05,0.0,0.65,0.0,0.018461538461538463
0.05,0.0,0.7,0.0,0.017142857142857144
0.05,0.0,0.75,0.0,0.016
0.05,0.0,0.8,0.0,0.015
0.05,0.0,0.85,0.0,0.01411764705882353
0.05,0.0,0.9,0.0,0.013333333333333334
0.05,0.0,0.95,0.0,0.01263157894736842
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.0
0.05,0.0,0.1,0.0,0.0
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.005
0.05,0.0,0.25,0.0,0.012
0.05,0.0,0.3,0.0,0.013333333333333334
0.05,0.0,0.35,0.0,0.02
0.05,0.0,0.4,0.0,0.025
0.05,0.0,0.45,0.0,0.022222222222222223
0.05,0.0,0.5,0.0,0.02
0.05,0.0,0.55,0.0,0.01818181818181818
0.05,0.0,0.6,0.0,0.016666666666666666
0.05,0.0,0.65,0.0,0.015384615384615385
0.05,0.0,0.7,0.0,0.014285714285714285
0.05,0.0,0.75,0.0,0.013333333333333334
0.05,0.0,0.8,0.0,0.0125
0.05,0.0,0.85,0.0,0.011764705882352941
0.05,0.0,0.9,0.0,0.011111111111111112
0.05,0.0,0.95,0.0,0.010526315789473684
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.015
0.05,0.0,0.25,0.0,0.016
0.05,0.0,0.3,0.0,0.023333333333333334
0.05,0.0,0.35,0.0,0.02
0.05,0.0,0.4,0.0,0.0225
0.05,0.0,0.45,0.0,0.02
0.05,0.0,0.5,0.0,0.018
0.05,0.0,0.55,0.0,0.016363636363636365
0.05,0.0,0.6,0.0,0.015
0.05,0.0,0.65,0.0,0.013846153846153847
0.05,0.0,0.7,0.0,0.012857142857142857
0.05,0.0,0.75,0.0,0.012
0.05,0.0,0.8,0.0,0.01125
0.05,0.0,0.85,0.0,0.010588235294117647
0.05,0.0,0.9,0.0,0.01
0.05,0.0,0.95,0.0,0.009473684210526316
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.02
0.05,0.0,0.15,0.0,0.02
0.05,0.0,0.2,0.0,0.03
0.05,0.0,0.25,0.0,0.024
0.05,0.0,0.3,0.0,0.02666666666666667
0.05,0.0,0.35,0.0,0.037142857142857144
0.05,0.0,0.4,0.0,0.0375
0.05,0.0,0.45,0.0,0.03333333333333333
0.05,0.0,0.5,0.0,0.03
0.05,0.0,0.55,0.0,0.02727272727272727
0.05,0.0,0.6,0.0,0.025
0.05,0.0,0.65,0.0,0.023076923076923078
0.05,0.0,0.7,0.0,0.02142857142857143
0.05,0.0,0.75,0.0,0.02
0.05,0.0,0.8,0.0,0.01875
0.05,0.0,0.85,0.0,0.01764705882352941
0.05,0.0,0.9,0.0,0.016666666666666666
0.05,0.0,0.95,0.0,0.015789473684210527
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.02
0.05,0.0,0.15,0.0,0.02
0.05,0.0,0.2,0.0,0.035
0.05,0.0,0.25,0.0,0.032
0.05,0.0,0.3,0.0,0.03333333333333333
0.05,0.0,0.35,0.0,0.03142857142857143
0.05,0.0,0.4,0.0,0.0275
0.05,0.0,0.45,0.0,0.024444444444444446
0.05,0.0,0.5,0.0,0.022
0.05,0.0,0.55,0.0,0.02
0.05,0.0,0.6,0.0,0.018333333333333333
0.05,0.0,0.65,0.0,0.016923076923076923
0.05,0.0,0.7,0.0,0.015714285714285715
0.05,0.0,0.75,0.0,0.014666666666666666
0.05,0.0,0.8,0.0,0.01375
0.05,0.0,0.85,0.0,0.012941176470588235
0.05,0.0,0.9,0.0,0.012222222222222223
0.05,0.0,0.95,0.0,0.011578947368421053
0.05,0.0,1.0,0.0,0.05
0.05,0.0,0.05,0.0,0.02
0.05,0.0,0.1,0.0,0.01
0.05,0.0,0.15,0.0,0.006666666666666667
0.05,0.0,0.2,0.0,0.015
0.05,0.0,0.25,0.0,0.016
0.05,0.0,0.3,0.0,0.02
0.05,0.0,0.35,0.0,0.02857142857142857
0.05,0.0,0.4,0.0,0.025
0.05,0.0,0.45,0.0,0.022222222222222223
0.05,0.0,0.5,0.0,0.02
0.05,0.0,0.55,0.0,0.01818181818181818
0.05,0.0,0.6,0.0,0.016666666666666666
0.05,0.0,0.65,0.0,0.015384615384615385
0.05,0.0,0.7,0.0,0.014285714285714285
0.05,0.0,0.75,0.0,0.013333333333333334
0.05,0.0,0.8,0.0,0.0125
0.05,0.0,0.85,0.0,0.011764705882352941
0.05,0.0,0.9,0.0,0.011111111111111112
0.05,0.0,0.95,0.0,0.010526315789473684
0.05,0.0,1.0,0.0,0.05
0.05,0.05,0.05,0.12,0.02
0.05,0.05,0.1,0.08,0.01
0.05,0.05,0.15,0.06,0.02
0.05,0.05,0.2,0.045,0.015
0.05,0.05,0.25,0.052,0.02
0.05,0.05,0.3,0.05,0.023333333333333334
0.05,0.05,0.35,0.054285714285714284,0.02
0.05,0.05,0.4,0.0475,0.0175
0.05,0.05,0.45,0.042222222222222223,0.015555555555555555
0.05,0.05,0.5,0.038,0.014
0.05,0.05,0.55,0.034545454545454546,0.012727272727272728
0.05,0.05,0.6,0.03166666666666667,0.011666666666666667
0.05,0.05,0.65,0.02923076923076923,0.010769230769230769
0.05,0.05,0.7,0.027142857142857142,0.01
0.05,0.05,0.75,0.025333333333333333,0.009333333333333334
0.05,0.05,0.8,0.02375,0.00875
0.05,0.05,0.85,0.02235294117647059,0.00823529411764706
0.05,0.05,0.9,0.021111111111111112,0.0077777777777777776
0.05,0.05,0.95,0.045263157894736845,0.007368421052631579
0.05,0.05,1.0,0.05,0.05
0.05,0.05,0.05,0.08,0.04
0.05,0.05,0.1,0.06,0.05
0.05,0.05,0.15,0.06666666666666667,0.05333333333333334
0.05,0.05,0.2,0.06,0.04
0.05,0.05,0.25,0.052,0.044
0.05,0.05,0.3,0.043333333333333335,0.043333333333333335
0.05,0.05,0.35,0.045714285714285714,0.04285714285714286
0.05,0.05,0.4,0.04,0.0375
0.05,0.05,0.45,0.035555555555555556,0.03333333333333333
0.05,0.05,0.5,0.032,0.03
0.05,0.05,0.55,0.02909090909090909,0.02727272727272727
0.05,0.05,0.6,0.02666666666666667,0.025
0.05,0.05,0.65,0.024615384615384615,0.023076923076923078
0.05,0.05,0.7,0.022857142857142857,0.02142857142857143
0.05,0.05,0.75,0.021333333333333333,0.02
0.05,0.05,0.8,0.02,0.01875
0.05,0.05,0.85,0.018823529411764704,0.01764705882352941
0.05,0.05,0.9,0.017777777777777778,0.016666666666666666
0.05,0.05,0.95,0.03684210526315789,0.015789473684210527
0.05,0.05,1.0,0.05,0.05
0.05,0.05,0.05,0.04,0.0
0.05,0.05,0.1,0.02,0.01
0.05,0.05,0.15,0.04,0.013333333333333334
0.05,0.05,0.2,0.035,0.035
0.05,0.05,0.25,0.04,0.032
0.05,0.05,0.3,0.043333333333333335,0.04
0.05,0.05,0.35,0.037142857142857144,0.04
0.05,0.05,0.4,0.04,0.0375
0.05,0.05,0.45,0.035555555555555556,0.03333333333333333
0.05,0.05,0.5,0.032,0.03
0.05,0.05,0.55,0.02909090909090909,0.02727272727272727
0.05,0.05,0.6,0.02666666666666667,0.025
0.05,0.05,0.65,0.024615384615384615,0.023076923076923078
0.05,0.05,0.7,0.022857142857142857,0.02142857142857143
0.05,0.05,0.75,0.021333333333333333,0.02
0.05,0.05,0.8,0.02,0.01875
0.05,0.05,0.85,0.018823529411764704,0.01764705882352941
0.05,0.05,0.9,0.017777777777777778,0.016666666666666666
0.05,0.05,0.95,0.03684210526315789,0.015789473684210527
0.05,0.05,1.0,0.05,0.05
0.05,0.05,0.05,0.08,0.02
0.05,0.05,0.1,0.07,0.02
0.05,0.05,0.15,0.06,0.02
0.05,0.05,0.2,0.055,0.025
0.05,0.05,0.25,0.056,0.024
0.05,0.05,0.3,0.05333333333333334,0.03
0.05,0.05,0.35,0.05142857142857143,0.04
0.05,0.05,0.4,0.05,0.04
