prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.25,0.0,0.156,0.0,0.156
0.0,0.3,0.0,0.18333333333333332,0.0,0.18333333333333332
0.0,0.35,0.0,0.18,0.0,0.18
0.0,0.4,0.0,0.165,0.0,0.165
0.0,0.45,0.0,0.14666666666666667,0.0,0.14666666666666667
0.0,0.5,0.0,0.132,0.0,0.132
0.0,0.55,0.0,0.12,0.0,0.12
0.0,0.6,0.0,0.11,0.0,0.11
0.0,0.65,0.0,0.10153846153846154,0.0,0.10153846153846154
0.0,0.7,0.0,0.09428571428571429,0.0,0.09428571428571429
0.0,0.75,0.0,0.088,0.0,0.088
0.0,0.8,0.0,0.0825,0.0,0.0825
0.0,0.85,0.0,0.07764705882352942,0.0,0.07764705882352942
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.06,0.0,0.06
0.0,0.1,0.0,0.08,0.0,0.08
0.0,0.15,0.0,0.11333333333333333,0.0,0.11333333333333333
0.0,0.2,0.0,0.135,0.0,0.135
0.0,0.25,0.0,0.144,0.0,0.144
0.0,0.3,0.0,0.16,0.0,0.16
0.0,0.35,0.0,0.15714285714285714,0.0,0.15714285714285714
0.0,0.4,0.0,0.1375,0.0,0.1375
0.0,0.45,0.0,0.12222222222222222,0.0,0.12222222222222222
0.0,0.5,0.0,0.11,0.0,0.11
0.0,0.55,0.0,0.1,0.0,0.1
0.0,0.6,0.0,0.09166666666666666,0.0,0.09166666666666666
0.0,0.65,0.0,0.08461538461538462,0.0,0.08461538461538462
0.0,0.7,0.0,0.07857142857142857,0.0,0.07857142857142857
0.0,0.75,0.0,0.07333333333333333,0.0,0.07333333333333333
0.0,0.8,0.0,0.06875,0.0,0.06875
0.0,0.85,0.0,0.06470588235294118,0.0,0.06470588235294118
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.02,0.0,0.02
0.0,0.1,0.0,0.06,0.0,0.06
0.0,0.15,0.0,0.08,0.0,0.08
0.0,0.2,0.0,0.115,0.0,0.115
0.0,0.25,0.0,0.148,0.0,0.148
0.0,0.3,0.0,0.16666666666666666,0.0,0.16666666666666666
0.0,0.35,0.0,0.1742857142857143,0.0,0.1742857142857143
0.0,0.4,0.0,0.155,0.0,0.155
0.0,0.45,0.0,0.13777777777777778,0.0,0.13777777777777778
0.0,0.5,0.0,0.124,0.0,0.124
0.0,0.55,0.0,0.11272727272727273,0.0,0.11272727272727273
0.0,0.6,0.0,0.10333333333333333,0.0,0.10333333333333333
0.0,0.65,0.0,0.09538461538461539,0.0,0.09538461538461539
0.0,0.7,0.0,0.08857142857142856,0.0,0.08857142857142856
0.0,0.75,0.0,0.08266666666666667,0.0,0.08266666666666667
0.0,0.8,0.0,0.0775,0.0,0.0775
0.0,0.85,0.0,0.07294117647058823,0.0,0.07294117647058823
