prop_min,prop_ally,avg_rank_M,avg_rank_m,avg_rank_a
0.05,0.0,474.5,974.5,
0.05,0.0,474.5,974.5,
0.05,0.0,474.5,974.5,
0.05,0.05,449.5,974.5,924.5
0.05,0.05,449.5,974.5,924.5
0.05,0.05,449.5,974.5,924.5
0.05,0.1,424.5,974.5,899.5
0.05,0.1,424.5,974.5,899.5
0.05,0.1,424.5,974.5,899.5
0.05,0.15000000000000002,399.5,974.5,874.5
0.05,0.15000000000000002,399.5,974.5,874.5
0.05,0.15000000000000002,399.5,974.5,874.5
0.05,0.2,374.5,974.5,849.5
0.05,0.2,374.5,974.5,849.5
0.05,0.2,374.5,974.5,849.5
0.05,0.25,349.5,974.5,824.5
0.05,0.25,349.5,974.5,824.5
0.05,0.25,349.5,974.5,824.5
0.05,0.30000000000000004,324.5,974.5,799.5
0.05,0.30000000000000004,324.5,974.5,799.5
0.05,0.30000000000000004,324.5,974.5,799.5
0.05,0.35000000000000003,299.5,974.5,774.5
0.05,0.35000000000000003,299.5,974.5,774.5
0.05,0.35000000000000003,299.5,974.5,774.5
0.05,0.4,274.5,971.36,749.8925
0.05,0.4,274.5,973.76,749.5925
0.05,0.4,274.5,974.4,749.5125
0.05,0.45,249.5,825.78,741.0244444444445
0.05,0.45,249.5,808.4,742.9555555555555
0.05,0.45,249.5,833.42,740.1755555555555
0.1,0.0,449.5,949.5,
0.1,0.0,449.5,949.5,
0.1,0.0,449.5,949.5,
0.1,0.044444444444444446,427.5,949.5,877.5
0.1,0.044444444444444446,427.5,949.5,877.5
0.1,0.044444444444444446,427.5,949.5,877.5
0.1,0.08888888888888889,405.5,949.5,855.5
0.1,0.08888888888888889,405.5,949.5,855.5
0.1,0.08888888888888889,405.5,949.5,855.5
0.1,0.13333333333333333,383.0,949.5,833.0
0.1,0.13333333333333333,383.0,949.5,833.0
0.1,0.13333333333333333,383.0,949.5,833.0
0.1,0.17777777777777778,361.0,949.5,811.0
0.1,0.17777777777777778,361.0,949.5,811.0
0.1,0.17777777777777778,361.0,949.5,811.0
0.1,0.22222222222222224,338.5,949.5,788.5
0.1,0.22222222222222224,338.5,949.5,788.5
0.1,0.22222222222222224,338.5,949.5,788.5
0.1,0.26666666666666666,316.5,949.5,766.5
0.1,0.26666666666666666,316.5,949.5,766.5
0.1,0.26666666666666666,316.5,949.5,766.5
0.1,0.3111111111111111,294.0,949.5,744.0
0.1,0.3111111111111111,294.0,949.5,744.0
0.1,0.3111111111111111,294.0,949.5,744.0
0.1,0.35555555555555557,272.0,949.5,722.0
0.1,0.35555555555555557,272.0,949.49,722.0028169014084
0.1,0.35555555555555557,272.0,949.48,722.0056338028169
0.1,0.4,249.5,914.97,708.1325
0.1,0.4,249.5,918.06,707.36
0.1,0.4,249.5,926.9,705.15
0.15000000000000002,0.0,424.5,924.5,
0.15000000000000002,0.0,424.5,924.5,
0.15000000000000002,0.0,424.5,924.5,
0.15000000000000002,0.03888888888888889,406.0603448275862,924.5,818.5263157894736
0.15000000000000002,0.03888888888888889,406.75615763546796,924.5,803.6578947368421
0.15000000000000002,0.03888888888888889,406.25985221674875,924.5,814.2631578947369
0.15000000000000002,0.07777777777777778,386.0025873221216,924.5,810.974025974026
0.15000000000000002,0.07777777777777778,386.03492884864164,924.5,810.6493506493506
0.15000000000000002,0.07777777777777778,386.02328589909445,924.5,810.7662337662338
0.15000000000000002,0.11666666666666667,366.5013623978202,924.5,791.4913793103449
0.15000000000000002,0.11666666666666667,366.5,924.5,791.5
0.15000000000000002,0.11666666666666667,366.5,924.5,791.5
0.15000000000000002,0.15555555555555556,347.0,924.5,772.0
0.15000000000000002,0.15555555555555556,347.0,924.5,772.0
0.15000000000000002,0.15555555555555556,347.0,924.5,772.0
0.15000000000000002,0.19444444444444445,327.5,924.5,752.5
0.15000000000000002,0.19444444444444445,327.5,924.5,752.5
0.15000000000000002,0.19444444444444445,327.5,924.5,752.5
0.15000000000000002,0.23333333333333334,308.0,924.5,733.0
0.15000000000000002,0.23333333333333334,308.0,924.5,733.0
0.15000000000000002,0.23333333333333334,308.0,924.5,733.0
0.15000000000000002,0.27222222222222225,288.5,924.5,713.5
0.15000000000000002,0.27222222222222225,288.5,924.5,713.5
0.15000000000000002,0.27222222222222225,288.5,924.5,713.5
0.15000000000000002,0.3111111111111111,269.0,924.5,694.0
0.15000000000000002,0.3111111111111111,269.0,924.5,694.0
0.15000000000000002,0.3111111111111111,269.0,924.5,694.0
0.15000000000000002,0.35,249.5,921.94,675.5971428571429
0.15000000000000002,0.35,249.5,923.3133333333334,675.0085714285714
0.15000000000000002,0.35,249.5,921.9933333333333,675.5742857142857
0.2,0.0,399.5,899.5,
0.2,0.0,399.5,899.5,
0.2,0.0,399.5,899.5,
0.2,0.03333333333333333,398.73402868318124,899.5,417.3030303030303
0.2,0.03333333333333333,397.08083441981745,899.5,455.72727272727275
0.2,0.03333333333333333,395.8943937418514,899.5,483.3030303030303
0.2,0.06666666666666667,375.05449591280654,899.5,671.3636363636364
0.2,0.06666666666666667,378.9264305177112,899.5,628.3030303030303
0.2,0.06666666666666667,379.4427792915531,899.5,622.560606060606
0.2,0.1,352.3257142857143,899.5,729.72
0.2,0.1,353.0514285714286,899.5,724.64
0.2,0.1,353.7371428571429,899.5,719.84
0.2,0.13333333333333333,333.6911544227886,899.5,729.5338345864661
0.2,0.13333333333333333,334.0389805097451,899.5,727.7894736842105
0.2,0.13333333333333333,333.7886056971514,899.5,729.0451127819549
0.2,0.16666666666666666,316.55835962145113,899.5,716.277108433735
