prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k,iter
0.055,0.413,0.7,0.3028571428571429,0.04428571428571428,0
0.055,0.413,0.75,0.2826666666666667,0.04133333333333333,0
0.055,0.413,0.8,0.295625,0.03875,0
0.055,0.413,0.85,0.33705882352941174,0.036470588235294116,0
0.055,0.413,0.9,0.3738888888888889,0.034444444444444444,0
0.055,0.413,0.95,0.4068421052631579,0.03263157894736842,0
0.055,0.413,1.0,0.4125,0.055,0
0.474,0.026,0.05,0.02,0.49,5
0.474,0.026,0.1,0.02,0.5,5
0.474,0.026,0.15,0.016666666666666666,0.49333333333333335,5
0.474,0.026,0.2,0.0225,0.4875,5
0.474,0.026,0.25,0.032,0.484,5
0.474,0.026,0.3,0.03,0.47833333333333333,5
0.474,0.026,0.35,0.027142857142857142,0.4657142857142857,5
0.474,0.026,0.4,0.02625,0.47375,5
0.474,0.026,0.45,0.024444444444444446,0.4777777777777778,5
0.474,0.026,0.5,0.023,0.467,5
0.474,0.026,0.55,0.023636363636363636,0.4672727272727273,5
0.474,0.026,0.6,0.0225,0.44,5
0.474,0.026,0.65,0.02076923076923077,0.40615384615384614,5
0.474,0.026,0.7,0.019285714285714285,0.37714285714285717,5
0.474,0.026,0.75,0.018,0.352,5
0.474,0.026,0.8,0.0325,0.3425,5
0.474,0.026,0.85,0.03058823529411765,0.3811764705882353,5
0.474,0.026,0.9,0.028888888888888888,0.41555555555555557,5
0.474,0.026,0.95,0.02736842105263158,0.4463157894736842,5
0.474,0.026,1.0,0.026,0.474,5
0.040,0.438,0.05,0.35,0.14,8
0.040,0.438,0.1,0.42,0.095,8
0.040,0.438,0.15,0.41,0.08,8
0.040,0.438,0.2,0.415,0.0725,8
0.040,0.438,0.25,0.426,0.072,8
0.040,0.438,0.3,0.43333333333333335,0.065,8
0.040,0.438,0.35,0.43142857142857144,0.06,8
0.040,0.438,0.4,0.43375,0.05375,8
0.040,0.438,0.45,0.4388888888888889,0.04777777777777778,8
0.040,0.438,0.5,0.438,0.046,8
0.040,0.438,0.55,0.4254545454545455,0.042727272727272725,8
0.040,0.438,0.6,0.39,0.03916666666666667,8
0.040,0.438,0.65,0.36,0.036153846153846154,8
0.040,0.438,0.7,0.3342857142857143,0.03357142857142857,8
0.040,0.438,0.75,0.312,0.03133333333333333,8
0.040,0.438,0.8,0.31875,0.029375,8
0.040,0.438,0.85,0.3588235294117647,0.027647058823529413,8
0.040,0.438,0.9,0.39444444444444443,0.026111111111111113,8
0.040,0.438,0.95,0.4263157894736842,0.024736842105263158,8
0.040,0.438,1.0,0.4385,0.04,8
0.333,0.052,0.05,0.05,0.35,8
0.333,0.052,0.1,0.055,0.35,8
0.333,0.052,0.15,0.05,0.33,8
0.333,0.052,0.2,0.065,0.335,8
0.333,0.052,0.25,0.064,0.336,8
0.333,0.052,0.3,0.06,0.34,8
0.333,0.052,0.35,0.05857142857142857,0.3342857142857143,8
0.333,0.052,0.4,0.06,0.3325,8
0.333,0.052,0.45,0.058888888888888886,0.3422222222222222,8
0.333,0.052,0.5,0.056,0.342,8
0.333,0.052,0.55,0.05818181818181818,0.3381818181818182,8
0.333,0.052,0.6,0.05333333333333334,0.3125,8
0.333,0.052,0.65,0.04923076923076923,0.28846153846153844,8
0.333,0.052,0.7,0.045714285714285714,0.26785714285714285,8
0.333,0.052,0.75,0.042666666666666665,0.25,8
0.333,0.052,0.8,0.04,0.234375,8
0.333,0.052,0.85,0.05529411764705883,0.22058823529411764,8
0.333,0.052,0.9,0.05722222222222222,0.2588888888888889,8
0.333,0.052,0.95,0.05421052631578947,0.29789473684210527,8
0.333,0.052,1.0,0.0515,0.333,8
0.058,0.361,0.05,0.36,0.12,7
0.058,0.361,0.1,0.355,0.105,7
0.058,0.361,0.15,0.37,0.07666666666666666,7
0.058,0.361,0.2,0.355,0.0775,7
0.058,0.361,0.25,0.364,0.072,7
0.058,0.361,0.3,0.365,0.06666666666666667,7
0.058,0.361,0.35,0.36714285714285716,0.07,7
0.058,0.361,0.4,0.37125,0.06625,7
0.058,0.361,0.45,0.37222222222222223,0.06333333333333334,7
0.058,0.361,0.5,0.371,0.065,7
0.058,0.361,0.55,0.36363636363636365,0.06545454545454546,7
0.058,0.361,0.6,0.3333333333333333,0.06,7
0.058,0.361,0.65,0.3076923076923077,0.055384615384615386,7
0.058,0.361,0.7,0.2857142857142857,0.05142857142857143,7
0.058,0.361,0.75,0.26666666666666666,0.048,7
0.058,0.361,0.8,0.25,0.045,7
0.058,0.361,0.85,0.2735294117647059,0.042352941176470586,7
0.058,0.361,0.9,0.3138888888888889,0.04,7
0.058,0.361,0.95,0.35,0.037894736842105266,7
0.058,0.361,1.0,0.361,0.0575,7
0.048,0.387,0.05,0.32,0.12,9
0.048,0.387,0.1,0.35,0.08,9
0.048,0.387,0.15,0.35333333333333333,0.07333333333333333,9
0.048,0.387,0.2,0.355,0.08,9
0.048,0.387,0.25,0.36,0.068,9
0.048,0.387,0.3,0.36833333333333335,0.07,9
0.048,0.387,0.35,0.3585714285714286,0.06571428571428571,9
0.048,0.387,0.4,0.3725,0.06625,9
0.048,0.387,0.45,0.3788888888888889,0.06222222222222222,9
0.048,0.387,0.5,0.38,0.058,9
0.048,0.387,0.55,0.38272727272727275,0.05454545454545454,9
0.048,0.387,0.6,0.35083333333333333,0.05,9
0.048,0.387,0.65,0.32384615384615384,0.046153846153846156,9
0.048,0.387,0.7,0.3007142857142857,0.04285714285714286,9
0.048,0.387,0.75,0.2806666666666667,0.04,9
0.048,0.387,0.8,0.263125,0.0375,9
0.048,0.387,0.85,0.3,0.03529411764705882,9
0.048,0.387,0.9,0.3388888888888889,0.03333333333333333,9
0.048,0.387,0.95,0.3736842105263158,0.031578947368421054,9
0.048,0.387,1.0,0.387,0.048,9
0.091,0.335,0.05,0.31,0.22,0
0.091,0.335,0.1,0.3,0.16,0
0.091,0.335,0.15,0.31333333333333335,0.15666666666666668,0
0.091,0.335,0.2,0.3325,0.135,0
0.091,0.335,0.25,0.33,0.128,0
0.091,0.335,0.3,0.33,0.12166666666666667,0
0.091,0.335,0.35,0.32857142857142857,0.11285714285714285,0
0.091,0.335,0.4,0.325,0.11125,0
0.091,0.335,0.45,0.3288888888888889,0.10555555555555556,0
0.091,0.335,0.5,0.324,0.103,0
0.091,0.335,0.55,0.30454545454545456,0.09909090909090909,0
0.091,0.335,0.6,0.2791666666666667,0.09083333333333334,0
0.091,0.335,0.65,0.25769230769230766,0.08384615384615385,0
0.091,0.335,0.7,0.2392857142857143,0.07785714285714286,0
0.091,0.335,0.75,0.22333333333333333,0.07266666666666667,0
0.091,0.335,0.8,0.215,0.068125,0
0.091,0.335,0.85,0.2611764705882353,0.06411764705882353,0
0.091,0.335,0.9,0.3022222222222222,0.06055555555555556,0
0.091,0.335,0.95,0.3389473684210526,0.057368421052631575,0
0.091,0.335,1.0,0.3355,0.091,0
0.056,0.052,0.05,0.05,0.0,3
0.056,0.052,0.1,0.08,0.0,3
0.056,0.052,0.15,0.06,0.0,3
0.056,0.052,0.2,0.0675,0.005,3
0.056,0.052,0.25,0.058,0.022,3
0.056,0.052,0.3,0.051666666666666666,0.02,3
0.056,0.052,0.35,0.05,0.025714285714285714,3
0.056,0.052,0.4,0.05125,0.03,3
0.056,0.052,0.45,0.05,0.03,3
0.056,0.052,0.5,0.049,0.031,3
0.056,0.052,0.55,0.04727272727272727,0.03090909090909091,3
0.056,0.052,0.6,0.043333333333333335,0.028333333333333332,3
0.056,0.052,0.65,0.04,0.026153846153846153,3
0.056,0.052,0.7,0.037142857142857144,0.024285714285714285,3
0.056,0.052,0.75,0.034666666666666665,0.02266666666666667,3
0.056,0.052,0.8,0.0325,0.02125,3
0.056,0.052,0.85,0.03058823529411765,0.02,3
0.056,0.052,0.9,0.028888888888888888,0.01888888888888889,3
0.056,0.052,0.95,0.04263157894736842,0.017894736842105262,3
0.056,0.052,1.0,0.0515,0.056,3
0.371,0.129,0.05,0.09,0.44,2
0.371,0.129,0.1,0.11,0.45,2
0.371,0.129,0.15,0.11,0.45,2
0.371,0.129,0.2,0.105,0.4325,2
0.371,0.129,0.25,0.112,0.432,2
0.371,0.129,0.3,0.12333333333333334,0.4166666666666667,2
0.371,0.129,0.35,0.12,0.41285714285714287,2
0.371,0.129,0.4,0.1225,0.40125,2
0.371,0.129,0.45,0.13111111111111112,0.39555555555555555,2
0.371,0.129,0.5,0.124,0.385,2
0.371,0.129,0.55,0.13090909090909092,0.38545454545454544,2
0.371,0.129,0.6,0.1225,0.3575,2
0.371,0.129,0.65,0.11307692307692307,0.33,2
0.371,0.129,0.7,0.105,0.30642857142857144,2
0.371,0.129,0.75,0.098,0.286,2
0.371,0.129,0.8,0.106875,0.268125,2
0.371,0.129,0.85,0.15176470588235294,0.26,2
0.371,0.129,0.9,0.14333333333333334,0.3011111111111111,2
0.371,0.129,0.95,0.13578947368421052,0.33789473684210525,2
0.371,0.129,1.0,0.129,0.371,2
0.119,0.361,0.05,0.31,0.27,7
0.119,0.361,0.1,0.305,0.225,7
0.119,0.361,0.15,0.31666666666666665,0.20333333333333334,7
0.119,0.361,0.2,0.33,0.205,7
0.119,0.361,0.25,0.352,0.192,7
0.119,0.361,0.3,0.345,0.17833333333333334,7
0.119,0.361,0.35,0.3385714285714286,0.17285714285714285,7
0.119,0.361,0.4,0.3525,0.16,7
0.119,0.361,0.45,0.35555555555555557,0.15333333333333332,7
0.119,0.361,0.5,0.361,0.145,7
0.119,0.361,0.55,0.3490909090909091,0.13454545454545455,7
0.119,0.361,0.6,0.32,0.12333333333333334,7
0.119,0.361,0.65,0.2953846153846154,0.11384615384615385,7
0.119,0.361,0.7,0.2742857142857143,0.10571428571428572,7
0.119,0.361,0.75,0.256,0.09866666666666667,7
0.119,0.361,0.8,0.256875,0.0925,7
0.119,0.361,0.85,0.30058823529411766,0.08705882352941176,7
0.119,0.361,0.9,0.33944444444444444,0.08222222222222222,7
0.119,0.361,0.95,0.3742105263157895,0.07789473684210527,7
0.119,0.361,1.0,0.361,0.1185,7
0.124,0.129,0.05,0.12,0.1,3
0.124,0.129,0.1,0.145,0.105,3
0.124,0.129,0.15,0.14,0.10666666666666667,3
0.124,0.129,0.2,0.145,0.1,3
0.124,0.129,0.25,0.146,0.098,3
0.124,0.129,0.3,0.14,0.09666666666666666,3
0.124,0.129,0.35,0.13285714285714287,0.10571428571428572,3
0.124,0.129,0.4,0.14,0.10875,3
0.124,0.129,0.45,0.1388888888888889,0.11444444444444445,3
0.124,0.129,0.5,0.14,0.117,3
0.124,0.129,0.55,0.1390909090909091,0.11727272727272728,3
0.124,0.129,0.6,0.13083333333333333,0.1075,3
0.124,0.129,0.65,0.12076923076923077,0.09923076923076923,3
0.124,0.129,0.7,0.11214285714285714,0.09214285714285714,3
0.124,0.129,0.75,0.10466666666666667,0.086,3
0.124,0.129,0.8,0.098125,0.080625,3
0.124,0.129,0.85,0.09235294117647058,0.07588235294117647,3
0.124,0.129,0.9,0.09833333333333333,0.07166666666666667,3
0.124,0.129,0.95,0.13578947368421052,0.07789473684210527,3
0.124,0.129,1.0,0.129,0.124,3
0.032,0.438,0.05,0.44,0.12,5
0.032,0.438,0.1,0.435,0.08,5
0.032,0.438,0.15,0.43333333333333335,0.07333333333333333,5
0.032,0.438,0.2,0.4075,0.0625,5
0.032,0.438,0.25,0.402,0.062,5
0.032,0.438,0.3,0.405,0.056666666666666664,5
0.032,0.438,0.35,0.4114285714285714,0.05,5
0.032,0.438,0.4,0.41375,0.04625,5
0.032,0.438,0.45,0.41888888888888887,0.043333333333333335,5
0.032,0.438,0.5,0.419,0.042,5
0.032,0.438,0.55,0.42363636363636364,0.03909090909090909,5
0.032,0.438,0.6,0.3883333333333333,0.035833333333333335,5
0.032,0.438,0.65,0.35846153846153844,0.03307692307692308,5
0.032,0.438,0.7,0.33285714285714285,0.030714285714285715,5
0.032,0.438,0.75,0.31066666666666665,0.028666666666666667,5
0.032,0.438,0.8,0.310625,0.026875,5
0.032,0.438,0.85,0.3511764705882353,0.025294117647058825,5
0.032,0.438,0.9,0.38722222222222225,0.02388888888888889,5
0.032,0.438,0.95,0.41947368421052633,0.022631578947368423,5
0.032,0.438,1.0,0.4385,0.0315,5
0.063,0.155,0.05,0.18,0.06,9
0.063,0.155,0.1,0.185,0.035,9
0.063,0.155,0.15,0.16333333333333333,0.05333333333333334,9
0.063,0.155,0.2,0.1725,0.0475,9
0.063,0.155,0.25,0.162,0.054,9
0.063,0.155,0.3,0.15833333333333333,0.055,9
0.063,0.155,0.35,0.15428571428571428,0.055714285714285716,9
0.063,0.155,0.4,0.16375,0.055,9
0.063,0.155,0.45,0.15555555555555556,0.06,9
0.063,0.155,0.5,0.159,0.058,9
0.063,0.155,0.55,0.15454545454545454,0.05454545454545454,9
0.063,0.155,0.6,0.14166666666666666,0.05,9
0.063,0.155,0.65,0.13076923076923078,0.046153846153846156,9
0.063,0.155,0.7,0.12142857142857143,0.04285714285714286,9
0.063,0.155,0.75,0.11333333333333333,0.04,9
0.063,0.155,0.8,0.10625,0.0375,9
0.063,0.155,0.85,0.1,0.03529411764705882,9
0.063,0.155,0.9,0.09722222222222222,0.03333333333333333,9
0.063,0.155,0.95,0.14473684210526316,0.031578947368421054,9
0.063,0.155,1.0,0.1545,0.063,9
0.010,0.464,0.05,0.46,0.05,4
0.010,0.464,0.1,0.425,0.035,4
0.010,0.464,0.15,0.4533333333333333,0.03333333333333333,4
0.010,0.464,0.2,0.4475,0.0275,4
0.010,0.464,0.25,0.45,0.022,4
0.010,0.464,0.3,0.45,0.02,4
0.010,0.464,0.35,0.45714285714285713,0.018571428571428572,4
0.010,0.464,0.4,0.46625,0.01625,4
0.010,0.464,0.45,0.46444444444444444,0.015555555555555555,4
0.010,0.464,0.5,0.467,0.014,4
0.010,0.464,0.55,0.46636363636363637,0.012727272727272728,4
0.010,0.464,0.6,0.43166666666666664,0.0125,4
0.010,0.464,0.65,0.3984615384615385,0.011538461538461539,4
0.010,0.464,0.7,0.37,0.010714285714285714,4
0.010,0.464,0.75,0.3453333333333333,0.01,4
0.010,0.464,0.8,0.333125,0.009375,4
0.010,0.464,0.85,0.3723529411764706,0.008823529411764706,4
0.010,0.464,0.9,0.4072222222222222,0.008333333333333333,4
0.010,0.464,0.95,0.43842105263157893,0.007894736842105263,4
0.010,0.464,1.0,0.464,0.01,4
0.189,0.181,0.05,0.18,0.21,8
0.189,0.181,0.1,0.205,0.215,8
0.189,0.181,0.15,0.19333333333333333,0.23,8
0.189,0.181,0.2,0.2025,0.225,8
0.189,0.181,0.25,0.194,0.224,8
0.189,0.181,0.3,0.19,0.22166666666666668,8
0.189,0.181,0.35,0.19714285714285715,0.22,8
0.189,0.181,0.4,0.19,0.22,8
0.189,0.181,0.45,0.18777777777777777,0.2222222222222222,8
0.189,0.181,0.5,0.189,0.218,8
0.189,0.181,0.55,0.1781818181818182,0.2081818181818182,8
0.189,0.181,0.6,0.16333333333333333,0.19083333333333333,8
0.189,0.181,0.65,0.15076923076923077,0.17615384615384616,8
0.189,0.181,0.7,0.14,0.16357142857142856,8
0.189,0.181,0.75,0.13066666666666665,0.15266666666666667,8
0.189,0.181,0.8,0.1225,0.143125,8
0.189,0.181,0.85,0.12352941176470589,0.13470588235294118,8
0.189,0.181,0.9,0.17222222222222222,0.1272222222222222,8
0.189,0.181,0.95,0.19,0.1463157894736842,8
0.189,0.181,1.0,0.1805,0.189,8
0.204,0.155,0.05,0.18,0.27,3
0.204,0.155,0.1,0.165,0.235,3
0.204,0.155,0.15,0.16,0.23333333333333334,3
0.204,0.155,0.2,0.16,0.225,3
0.204,0.155,0.25,0.162,0.226,3
0.204,0.155,0.3,0.15833333333333333,0.21833333333333332,3
0.204,0.155,0.35,0.1657142857142857,0.22,3
0.204,0.155,0.4,0.15875,0.21,3
0.204,0.155,0.45,0.1622222222222222,0.21333333333333335,3
0.204,0.155,0.5,0.162,0.209,3
0.204,0.155,0.55,0.16090909090909092,0.2081818181818182,3
0.204,0.155,0.6,0.14916666666666667,0.19416666666666665,3
0.204,0.155,0.65,0.1376923076923077,0.17923076923076922,3
0.204,0.155,0.7,0.12785714285714286,0.16642857142857143,3
0.204,0.155,0.75,0.11933333333333333,0.15533333333333332,3
0.204,0.155,0.8,0.111875,0.145625,3
0.204,0.155,0.85,0.10882352941176471,0.13705882352941176,3
0.204,0.155,0.9,0.15833333333333333,0.12944444444444445,3
0.204,0.155,0.95,0.16263157894736843,0.16263157894736843,3
0.204,0.155,1.0,0.1545,0.2045,3
0.214,0.103,0.05,0.12,0.23,5
0.214,0.103,0.1,0.125,0.235,5
0.214,0.103,0.15,0.12333333333333334,0.25,5
0.214,0.103,0.2,0.1225,0.2425,5
0.214,0.103,0.25,0.12,0.224,5
0.214,0.103,0.3,0.115,0.22,5
0.214,0.103,0.35,0.10857142857142857,0.23,5
0.214,0.103,0.4,0.10125,0.23,5
0.214,0.103,0.45,0.10444444444444445,0.22333333333333333,5
0.214,0.103,0.5,0.106,0.217,5
0.214,0.103,0.55,0.10636363636363637,0.21454545454545454,5
0.214,0.103,0.6,0.10083333333333333,0.20083333333333334,5
0.214,0.103,0.65,0.09307692307692307,0.1853846153846154,5
0.214,0.103,0.7,0.08642857142857142,0.17214285714285715,5
0.214,0.103,0.75,0.08066666666666666,0.16066666666666668,5
0.214,0.103,0.8,0.075625,0.150625,5
0.214,0.103,0.85,0.0711764705882353,0.14176470588235293,5
0.214,0.103,0.9,0.10722222222222222,0.1338888888888889,5
0.214,0.103,0.95,0.10842105263157895,0.1726315789473684,5
0.214,0.103,1.0,0.103,0.214,5
0.029,0.438,0.05,0.43,0.09,1
0.029,0.438,0.1,0.465,0.07,1
0.029,0.438,0.15,0.44,0.07333333333333333,1
0.029,0.438,0.2,0.445,0.065,1
0.029,0.438,0.25,0.43,0.058,1
0.029,0.438,0.3,0.43166666666666664,0.055,1
0.029,0.438,0.35,0.44,0.04857142857142857,1
0.029,0.438,0.4,0.44,0.04375,1
0.029,0.438,0.45,0.43333333333333335,0.043333333333333335,1
0.029,0.438,0.5,0.435,0.043,1
0.029,0.438,0.55,0.42818181818181816,0.04,1
0.029,0.438,0.6,0.3925,0.03666666666666667,1
0.029,0.438,0.65,0.36230769230769233,0.033846153846153845,1
0.029,0.438,0.7,0.3364285714285714,0.03142857142857143,1
0.029,0.438,0.75,0.314,0.029333333333333333,1
0.029,0.438,0.8,0.306875,0.0275,1
0.029,0.438,0.85,0.3476470588235294,0.02588235294117647,1
0.029,0.438,0.9,0.3838888888888889,0.024444444444444446,1
0.029,0.438,0.95,0.4163157894736842,0.023157894736842106,1
0.029,0.438,1.0,0.4385,0.029,1
0.036,0.464,0.05,0.39,0.11,7
0.036,0.464,0.1,0.425,0.075,7
0.036,0.464,0.15,0.45,0.06666666666666667,7
0.036,0.464,0.2,0.445,0.055,7
0.036,0.464,0.25,0.446,0.054,7
0.036,0.464,0.3,0.4533333333333333,0.051666666666666666,7
0.036,0.464,0.35,0.4585714285714286,0.047142857142857146,7
0.036,0.464,0.4,0.4575,0.045,7
0.036,0.464,0.45,0.45555555555555555,0.05,7
0.036,0.464,0.5,0.456,0.05,7
0.036,0.464,0.55,0.44,0.046363636363636364,7
0.036,0.464,0.6,0.4033333333333333,0.0425,7
0.036,0.464,0.65,0.3723076923076923,0.03923076923076923,7
0.036,0.464,0.7,0.3457142857142857,0.03642857142857143,7
0.036,0.464,0.75,0.32266666666666666,0.034,7
0.036,0.464,0.8,0.343125,0.031875,7
0.036,0.464,0.85,0.38176470588235295,0.03,7
0.036,0.464,0.9,0.4161111111111111,0.028333333333333332,7
0.036,0.464,0.95,0.4468421052631579,0.026842105263157896,7
0.036,0.464,1.0,0.464,0.036,7
0.058,0.361,0.05,0.37,0.19,6
0.058,0.361,0.1,0.35,0.14,6
0.058,0.361,0.15,0.36333333333333334,0.11333333333333333,6
0.058,0.361,0.2,0.3575,0.095,6
0.058,0.361,0.25,0.362,0.098,6
0.058,0.361,0.3,0.3616666666666667,0.09166666666666666,6
0.058,0.361,0.35,0.36,0.08714285714285715,6
0.058,0.361,0.4,0.36125,0.08125,6
0.058,0.361,0.45,0.35555555555555557,0.07888888888888888,6
0.058,0.361,0.5,0.356,0.073,6
0.058,0.361,0.55,0.3490909090909091,0.06818181818181818,6
0.058,0.361,0.6,0.32,0.0625,6
0.058,0.361,0.65,0.2953846153846154,0.057692307692307696,6
0.058,0.361,0.7,0.2742857142857143,0.05357142857142857,6
0.058,0.361,0.75,0.256,0.05,6
0.058,0.361,0.8,0.24,0.046875,6
0.058,0.361,0.85,0.27176470588235296,0.04411764705882353,6
0.058,0.361,0.9,0.31222222222222223,0.041666666666666664,6
0.058,0.361,0.95,0.34842105263157896,0.039473684210526314,6
0.058,0.361,1.0,0.361,0.0575,6
0.319,0.181,0.05,0.13,0.48,4
0.319,0.181,0.1,0.135,0.42,4
0.319,0.181,0.15,0.15,0.4066666666666667,4
0.319,0.181,0.2,0.1475,0.3875,4
0.319,0.181,0.25,0.154,0.404,4
0.319,0.181,0.3,0.15833333333333333,0.38,4
0.319,0.181,0.35,0.16857142857142857,0.3842857142857143,4
0.319,0.181,0.4,0.175,0.36875,4
0.319,0.181,0.45,0.17222222222222222,0.35555555555555557,4
0.319,0.181,0.5,0.172,0.352,4
0.319,0.181,0.55,0.1709090909090909,0.34545454545454546,4
0.319,0.181,0.6,0.15833333333333333,0.32416666666666666,4
0.319,0.181,0.65,0.14615384615384616,0.29923076923076924,4
0.319,0.181,0.7,0.1357142857142857,0.27785714285714286,4
0.319,0.181,0.75,0.12666666666666668,0.25933333333333336,4
0.319,0.181,0.8,0.131875,0.243125,4
0.319,0.181,0.85,0.18294117647058825,0.2288235294117647,4
0.319,0.181,0.9,0.20055555555555554,0.24388888888888888,4
0.319,0.181,0.95,0.19,0.2836842105263158,4
0.319,0.181,1.0,0.1805,0.3195,4
0.036,0.464,0.05,0.39,0.12,9
0.036,0.464,0.1,0.395,0.1,9
0.036,0.464,0.15,0.43,0.08333333333333333,9
0.036,0.464,0.2,0.4525,0.075,9
0.036,0.464,0.25,0.456,0.066,9
0.036,0.464,0.3,0.45166666666666666,0.06,9
0.036,0.464,0.35,0.44571428571428573,0.06285714285714286,9
0.036,0.464,0.4,0.44,0.05875,9
0.036,0.464,0.45,0.45555555555555555,0.05333333333333334,9
0.036,0.464,0.5,0.462,0.051,9
0.036,0.464,0.55,0.4572727272727273,0.04909090909090909,9
0.036,0.464,0.6,0.4191666666666667,0.045,9
0.036,0.464,0.65,0.3869230769230769,0.04153846153846154,9
0.036,0.464,0.7,0.35928571428571426,0.03857142857142857,9
0.036,0.464,0.75,0.3353333333333333,0.036,9
0.036,0.464,0.8,0.34125,0.03375,9
0.036,0.464,0.85,0.38,0.03176470588235294,9
0.036,0.464,0.9,0.41444444444444445,0.03,9
0.036,0.464,0.95,0.44526315789473686,0.028421052631578948,9
0.036,0.464,1.0,0.464,0.036,9
0.037,0.232,0.05,0.23,0.02,0
0.037,0.232,0.1,0.275,0.02,0
0.037,0.232,0.15,0.25666666666666665,0.02666666666666667,0
0.037,0.232,0.2,0.27,0.03,0
0.037,0.232,0.25,0.284,0.036,0
0.037,0.232,0.3,0.27166666666666667,0.03333333333333333,0
0.037,0.232,0.35,0.25285714285714284,0.032857142857142856,0
0.037,0.232,0.4,0.24875,0.0325,0
0.037,0.232,0.45,0.2388888888888889,0.03222222222222222,0
0.037,0.232,0.5,0.235,0.031,0
0.037,0.232,0.55,0.23454545454545456,0.03,0
0.037,0.232,0.6,0.215,0.0275,0
0.037,0.232,0.65,0.19846153846153847,0.025384615384615384,0
0.037,0.232,0.7,0.18428571428571427,0.023571428571428573,0
0.037,0.232,0.75,0.172,0.022,0
0.037,0.232,0.8,0.16125,0.020625,0
0.037,0.232,0.85,0.15176470588235294,0.019411764705882354,0
0.037,0.232,0.9,0.17,0.018333333333333333,0
0.037,0.232,0.95,0.21368421052631578,0.017368421052631578,0
0.037,0.232,1.0,0.232,0.0375,0
0.096,0.309,0.05,0.27,0.19,1
0.096,0.309,0.1,0.275,0.14,1
0.096,0.309,0.15,0.30333333333333334,0.12,1
0.096,0.309,0.2,0.305,0.1025,1
0.096,0.309,0.25,0.314,0.094,1
0.096,0.309,0.3,0.31333333333333335,0.09333333333333334,1
0.096,0.309,0.35,0.31142857142857144,0.09571428571428571,1
0.096,0.309,0.4,0.31,0.09625,1
0.096,0.309,0.45,0.31333333333333335,0.09222222222222222,1
0.096,0.309,0.5,0.314,0.094,1
0.096,0.309,0.55,0.3145454545454546,0.09454545454545454,1
0.096,0.309,0.6,0.29083333333333333,0.08666666666666667,1
0.096,0.309,0.65,0.2684615384615385,0.08,1
0.096,0.309,0.7,0.24928571428571428,0.07428571428571429,1
0.096,0.309,0.75,0.23266666666666666,0.06933333333333333,1
0.096,0.309,0.8,0.218125,0.065,1
0.096,0.309,0.85,0.2388235294117647,0.0611764705882353,1
0.096,0.309,0.9,0.2811111111111111,0.057777777777777775,1
0.096,0.309,0.95,0.31894736842105265,0.05473684210526316,1
0.096,0.309,1.0,0.3095,0.0955,1
0.132,0.335,0.05,0.22,0.3,1
0.132,0.335,0.1,0.28,0.21,1
0.132,0.335,0.15,0.31,0.19,1
0.132,0.335,0.2,0.3275,0.175,1
0.132,0.335,0.25,0.336,0.168,1
0.132,0.335,0.3,0.3283333333333333,0.16,1
0.132,0.335,0.35,0.32142857142857145,0.15857142857142856,1
0.132,0.335,0.4,0.33625,0.14875,1
0.132,0.335,0.45,0.3377777777777778,0.15,1
0.132,0.335,0.5,0.337,0.158,1
0.132,0.335,0.55,0.33,0.15454545454545454,1
0.132,0.335,0.6,0.3025,0.14166666666666666,1
0.132,0.335,0.65,0.2792307692307692,0.13076923076923078,1
0.132,0.335,0.7,0.2592857142857143,0.12142857142857143,1
0.132,0.335,0.75,0.242,0.11333333333333333,1
0.132,0.335,0.8,0.228125,0.10625,1
0.132,0.335,0.85,0.2735294117647059,0.1,1
0.132,0.335,0.9,0.3138888888888889,0.09444444444444444,1
0.132,0.335,0.95,0.35,0.08947368421052632,1
0.132,0.335,1.0,0.3355,0.132,1
0.026,0.413,0.05,0.33,0.1,1
0.026,0.413,0.1,0.4,0.075,1
0.026,0.413,0.15,0.42,0.07,1
0.026,0.413,0.2,0.4125,0.06,1
0.026,0.413,0.25,0.41,0.058,1
0.026,0.413,0.3,0.40166666666666667,0.05,1
0.026,0.413,0.35,0.3985714285714286,0.047142857142857146,1
0.026,0.413,0.4,0.3925,0.0475,1
0.026,0.413,0.45,0.40444444444444444,0.044444444444444446,1
0.026,0.413,0.5,0.399,0.044,1
0.026,0.413,0.55,0.4027272727272727,0.04181818181818182,1
0.026,0.413,0.6,0.3725,0.03833333333333333,1
0.026,0.413,0.65,0.34384615384615386,0.03538461538461538,1
0.026,0.413,0.7,0.3192857142857143,0.032857142857142856,1
0.026,0.413,0.75,0.298,0.030666666666666665,1
0.026,0.413,0.8,0.279375,0.02875,1
0.026,0.413,0.85,0.3129411764705882,0.027058823529411764,1
0.026,0.413,0.9,0.3511111111111111,0.025555555555555557,1
0.026,0.413,0.95,0.38526315789473686,0.024210526315789474,1
0.026,0.413,1.0,0.4125,0.0265,1
0.151,0.155,0.05,0.17,0.16,3
0.151,0.155,0.1,0.185,0.16,3
0.151,0.155,0.15,0.17,0.15333333333333332,3
0.151,0.155,0.2,0.17,0.15,3
0.151,0.155,0.25,0.178,0.144,3
0.151,0.155,0.3,0.17666666666666667,0.15,3
0.151,0.155,0.35,0.17142857142857143,0.14285714285714285,3
0.151,0.155,0.4,0.1675,0.1425,3
0.151,0.155,0.45,0.1688888888888889,0.13555555555555557,3
