prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k,iter
0.140,0.077,0.2,0.08,0.135,4
0.140,0.077,0.25,0.09,0.132,4
0.140,0.077,0.3,0.08333333333333333,0.14,4
0.140,0.077,0.35,0.08428571428571428,0.12857142857142856,4
0.140,0.077,0.4,0.085,0.13125,4
0.140,0.077,0.45,0.07666666666666666,0.13555555555555557,4
0.140,0.077,0.5,0.076,0.135,4
0.140,0.077,0.55,0.07545454545454545,0.13818181818181818,4
0.140,0.077,0.6,0.06916666666666667,0.12666666666666668,4
0.140,0.077,0.65,0.06384615384615384,0.11692307692307692,4
0.140,0.077,0.7,0.05928571428571429,0.10857142857142857,4
0.140,0.077,0.75,0.05533333333333333,0.10133333333333333,4
0.140,0.077,0.8,0.051875,0.095,4
0.140,0.077,0.85,0.0488235294117647,0.08941176470588236,4
0.140,0.077,0.9,0.04611111111111111,0.08444444444444445,4
0.140,0.077,0.95,0.08157894736842106,0.09473684210526316,4
0.140,0.077,1.0,0.0775,0.14,4
0.238,0.129,0.05,0.11,0.27,9
0.238,0.129,0.1,0.12,0.225,9
0.238,0.129,0.15,0.11333333333333333,0.24333333333333335,9
0.238,0.129,0.2,0.12,0.2325,9
0.238,0.129,0.25,0.13,0.226,9
0.238,0.129,0.3,0.12833333333333333,0.23,9
0.238,0.129,0.35,0.13428571428571429,0.22714285714285715,9
0.238,0.129,0.4,0.12875,0.22875,9
0.238,0.129,0.45,0.13,0.22666666666666666,9
0.238,0.129,0.5,0.127,0.231,9
0.238,0.129,0.55,0.12272727272727273,0.22727272727272727,9
0.238,0.129,0.6,0.1125,0.20833333333333334,9
0.238,0.129,0.65,0.10384615384615385,0.19230769230769232,9
0.238,0.129,0.7,0.09642857142857143,0.17857142857142858,9
0.238,0.129,0.75,0.09,0.16666666666666666,9
0.238,0.129,0.8,0.084375,0.15625,9
0.238,0.129,0.85,0.10823529411764705,0.14705882352941177,9
0.238,0.129,0.9,0.14333333333333334,0.15333333333333332,9
0.238,0.129,0.95,0.13578947368421052,0.19789473684210526,9
0.238,0.129,1.0,0.129,0.238,9
0.033,0.052,0.05,0.05,0.0,5
0.033,0.052,0.1,0.055,0.005,5
