prop_ally,prop_ally_top_k,prop_min_top_k
0.20526315789473684,0.16,0.36
0.20526315789473684,0.14,0.26
0.20526315789473684,0.24,0.34
0.20526315789473684,0.1,0.24
0.20526315789473684,0.2,0.34
0.20526315789473684,0.14,0.24
0.20526315789473684,0.2,0.26
0.20526315789473684,0.26,0.24
0.20526315789473684,0.26,0.22
0.20526315789473684,0.18,0.3
0.20526315789473684,0.16,0.26
0.2210526315789474,0.16,0.22
0.2210526315789474,0.16,0.3
0.2210526315789474,0.24,0.28
0.2210526315789474,0.12,0.38
0.2210526315789474,0.28,0.32
0.2210526315789474,0.14,0.28
0.2210526315789474,0.18,0.28
0.2210526315789474,0.18,0.34
0.2210526315789474,0.1,0.3
0.2210526315789474,0.14,0.34
0.2210526315789474,0.14,0.32
0.2210526315789474,0.32,0.3
0.2210526315789474,0.14,0.18
0.2210526315789474,0.24,0.3
0.2210526315789474,0.12,0.28
0.2210526315789474,0.18,0.28
0.2210526315789474,0.22,0.24
0.2210526315789474,0.2,0.3
0.2210526315789474,0.18,0.36
0.2210526315789474,0.18,0.28
0.2368421052631579,0.14,0.28
0.2368421052631579,0.26,0.26
0.2368421052631579,0.14,0.26
0.2368421052631579,0.16,0.34
0.2368421052631579,0.18,0.34
0.2368421052631579,0.2,0.24
0.2368421052631579,0.24,0.3
0.2368421052631579,0.16,0.38
0.2368421052631579,0.14,0.28
0.2368421052631579,0.26,0.28
0.2368421052631579,0.28,0.28
0.2368421052631579,0.3,0.32
0.2368421052631579,0.12,0.18
0.2368421052631579,0.22,0.32
0.2368421052631579,0.14,0.34
0.2368421052631579,0.18,0.3
0.2368421052631579,0.24,0.28
0.2368421052631579,0.24,0.24
0.2368421052631579,0.22,0.36
0.2368421052631579,0.2,0.32
0.25263157894736843,0.2,0.3
0.25263157894736843,0.26,0.36
0.25263157894736843,0.2,0.28
0.25263157894736843,0.18,0.44
0.25263157894736843,0.22,0.36
0.25263157894736843,0.24,0.3
0.25263157894736843,0.26,0.44
0.25263157894736843,0.22,0.3
0.25263157894736843,0.14,0.28
0.25263157894736843,0.26,0.28
0.25263157894736843,0.32,0.3
0.25263157894736843,0.22,0.32
0.25263157894736843,0.16,0.26
0.25263157894736843,0.2,0.32
0.25263157894736843,0.18,0.4
0.25263157894736843,0.22,0.28
0.25263157894736843,0.28,0.18
0.25263157894736843,0.3,0.28
0.25263157894736843,0.24,0.4
0.25263157894736843,0.2,0.32
0.26842105263157895,0.18,0.32
0.26842105263157895,0.24,0.3
0.26842105263157895,0.2,0.32
0.26842105263157895,0.14,0.46
0.26842105263157895,0.2,0.34
0.26842105263157895,0.2,0.32
0.26842105263157895,0.36,0.3
0.26842105263157895,0.24,0.44
0.26842105263157895,0.16,0.26
0.26842105263157895,0.24,0.34
0.26842105263157895,0.32,0.36
0.26842105263157895,0.3,0.34
0.26842105263157895,0.08,0.24
0.26842105263157895,0.26,0.36
0.26842105263157895,0.16,0.4
0.26842105263157895,0.28,0.4
0.26842105263157895,0.2,0.26
0.26842105263157895,0.28,0.24
0.26842105263157895,0.24,0.34
0.26842105263157895,0.18,0.3
0.28421052631578947,0.2,0.4
0.28421052631578947,0.2,0.42
0.28421052631578947,0.22,0.36
0.28421052631578947,0.16,0.42
0.28421052631578947,0.24,0.32
0.28421052631578947,0.12,0.36
0.28421052631578947,0.36,0.36
0.28421052631578947,0.26,0.42
0.28421052631578947,0.14,0.24
0.28421052631578947,0.18,0.36
0.28421052631578947,0.18,0.44
0.28421052631578947,0.28,0.42
0.28421052631578947,0.14,0.22
0.28421052631578947,0.26,0.34
0.28421052631578947,0.18,0.44
0.28421052631578947,0.26,0.36
0.28421052631578947,0.24,0.28
0.28421052631578947,0.24,0.28
0.28421052631578947,0.26,0.42
0.28421052631578947,0.2,0.32
0.3,0.26,0.34
0.3,0.26,0.44
0.3,0.22,0.44
0.3,0.18,0.46
0.3,0.3,0.28
0.3,0.24,0.34
0.3,0.28,0.44
0.3,0.26,0.46
0.3,0.2,0.26
0.3,0.2,0.4
0.3,0.28,0.26
0.3,0.3,0.4
0.3,0.12,0.26
0.3,0.22,0.44
0.3,0.28,0.42
0.3,0.18,0.4
0.3,0.24,0.3
0.3,0.3,0.3
0.3,0.34,0.36
0.3,0.22,0.28
