prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.0,0.06,0.0,0.06
0.0,0.0,0.14,0.0,0.14
0.0,0.0,0.08,0.0,0.08
0.0,0.0,0.14,0.0,0.14
0.0,0.0,0.06,0.0,0.06
0.0,0.0,0.02,0.0,0.02
0.0,0.0,0.16,0.0,0.16
0.0,0.0,0.16,0.0,0.16
0.0,0.0,0.1,0.0,0.1
0.0,0.0,0.08,0.0,0.08
0.0,0.0,0.06,0.0,0.06
0.0,0.0,0.08,0.0,0.08
0.0,0.0,0.08,0.0,0.08
0.0,0.0,0.1,0.0,0.1
0.0,0.0,0.12,0.0,0.12
0.0,0.0,0.06,0.0,0.06
0.0,0.0,0.06,0.0,0.06
0.0,0.0,0.06,0.0,0.06
0.0,0.0,0.12,0.0,0.12
0.0,0.0,0.04,0.0,0.04
0.010526315789473684,0.04,0.2,0.05263157894736842,0.24000000000000002
0.010526315789473684,0.02,0.14,0.05263157894736842,0.16
0.010526315789473684,0.0,0.12,0.05263157894736842,0.12
0.010526315789473684,0.0,0.14,0.05263157894736842,0.14
0.010526315789473684,0.02,0.1,0.05263157894736842,0.12000000000000001
0.010526315789473684,0.02,0.04,0.05263157894736842,0.06
0.010526315789473684,0.0,0.1,0.05263157894736842,0.1
0.010526315789473684,0.02,0.08,0.05263157894736842,0.1
0.010526315789473684,0.0,0.08,0.05263157894736842,0.08
0.010526315789473684,0.0,0.12,0.05263157894736842,0.12
0.010526315789473684,0.02,0.06,0.05263157894736842,0.08
0.010526315789473684,0.02,0.14,0.05263157894736842,0.16
0.010526315789473684,0.0,0.04,0.05263157894736842,0.04
0.010526315789473684,0.06,0.18,0.05263157894736842,0.24
0.010526315789473684,0.04,0.08,0.05263157894736842,0.12
0.010526315789473684,0.0,0.14,0.05263157894736842,0.14
0.010526315789473684,0.02,0.08,0.05263157894736842,0.1
0.010526315789473684,0.02,0.04,0.05263157894736842,0.06
0.010526315789473684,0.0,0.1,0.05263157894736842,0.1
0.010526315789473684,0.0,0.02,0.05263157894736842,0.02
0.021052631578947368,0.08,0.16,0.10526315789473684,0.24
0.021052631578947368,0.04,0.2,0.10526315789473684,0.24000000000000002
0.021052631578947368,0.04,0.1,0.10526315789473684,0.14
0.021052631578947368,0.04,0.1,0.10526315789473684,0.14
0.021052631578947368,0.04,0.16,0.10526315789473684,0.2
0.021052631578947368,0.02,0.04,0.10526315789473684,0.06
0.021052631578947368,0.04,0.04,0.10526315789473684,0.08
0.021052631578947368,0.04,0.1,0.10526315789473684,0.14
0.021052631578947368,0.0,0.08,0.10526315789473684,0.08
0.021052631578947368,0.04,0.18,0.10526315789473684,0.22
0.021052631578947368,0.06,0.04,0.10526315789473684,0.1
0.021052631578947368,0.02,0.12,0.10526315789473684,0.13999999999999999
0.021052631578947368,0.0,0.06,0.10526315789473684,0.06
0.021052631578947368,0.1,0.12,0.10526315789473684,0.22
0.021052631578947368,0.02,0.08,0.10526315789473684,0.1
0.021052631578947368,0.02,0.16,0.10526315789473684,0.18
0.021052631578947368,0.02,0.08,0.10526315789473684,0.1
0.021052631578947368,0.02,0.04,0.10526315789473684,0.06
0.021052631578947368,0.02,0.1,0.10526315789473684,0.12000000000000001
0.021052631578947368,0.0,0.02,0.10526315789473684,0.02
0.031578947368421054,0.06,0.1,0.15789473684210525,0.16
0.031578947368421054,0.06,0.14,0.15789473684210525,0.2
0.031578947368421054,0.02,0.2,0.15789473684210525,0.22
0.031578947368421054,0.04,0.12,0.15789473684210525,0.16
0.031578947368421054,0.08,0.14,0.15789473684210525,0.22000000000000003
0.031578947368421054,0.02,0.04,0.15789473684210525,0.06
0.031578947368421054,0.04,0.06,0.15789473684210525,0.1
0.031578947368421054,0.06,0.14,0.15789473684210525,0.2
0.031578947368421054,0.0,0.12,0.15789473684210525,0.12
0.031578947368421054,0.08,0.12,0.15789473684210525,0.2
0.031578947368421054,0.08,0.08,0.15789473684210525,0.16
0.031578947368421054,0.0,0.1,0.15789473684210525,0.1
0.031578947368421054,0.02,0.04,0.15789473684210525,0.06
0.031578947368421054,0.12,0.1,0.15789473684210525,0.22
0.031578947368421054,0.04,0.14,0.15789473684210525,0.18000000000000002
0.031578947368421054,0.02,0.02,0.15789473684210525,0.04
0.031578947368421054,0.04,0.12,0.15789473684210525,0.16
0.031578947368421054,0.02,0.06,0.15789473684210525,0.08
0.031578947368421054,0.02,0.08,0.15789473684210525,0.1
0.031578947368421054,0.02,0.04,0.15789473684210525,0.06
0.042105263157894736,0.06,0.08,0.21052631578947367,0.14
0.042105263157894736,0.06,0.1,0.21052631578947367,0.16
0.042105263157894736,0.04,0.12,0.21052631578947367,0.16
0.042105263157894736,0.1,0.04,0.21052631578947367,0.14
0.042105263157894736,0.1,0.2,0.21052631578947367,0.30000000000000004
0.042105263157894736,0.0,0.02,0.21052631578947367,0.02
0.042105263157894736,0.08,0.12,0.21052631578947367,0.2
0.042105263157894736,0.08,0.14,0.21052631578947367,0.22000000000000003
0.042105263157894736,0.02,0.1,0.21052631578947367,0.12000000000000001
0.042105263157894736,0.06,0.14,0.21052631578947367,0.2
0.042105263157894736,0.06,0.02,0.21052631578947367,0.08
0.042105263157894736,0.08,0.14,0.21052631578947367,0.22000000000000003
0.042105263157894736,0.04,0.06,0.21052631578947367,0.1
0.042105263157894736,0.14,0.16,0.21052631578947367,0.30000000000000004
0.042105263157894736,0.0,0.04,0.21052631578947367,0.04
0.042105263157894736,0.08,0.1,0.21052631578947367,0.18
