prop_ally,beta,prop_ally_top_k,prop_min_top_k
0.06666666666666667,0.85,0.06352941176470588,0.07411764705882352
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.0,0.12
0.06666666666666667,0.1,0.03,0.14
0.06666666666666667,0.15,0.04666666666666667,0.15333333333333332
0.06666666666666667,0.2,0.04,0.165
0.06666666666666667,0.25,0.036,0.16
0.06666666666666667,0.3,0.043333333333333335,0.16
0.06666666666666667,0.35,0.054285714285714284,0.17142857142857143
0.06666666666666667,0.4,0.0575,0.1725
0.06666666666666667,0.45,0.051111111111111114,0.15333333333333332
0.06666666666666667,0.5,0.046,0.138
0.06666666666666667,0.55,0.04181818181818182,0.12545454545454546
0.06666666666666667,0.6,0.03833333333333333,0.115
0.06666666666666667,0.65,0.03538461538461538,0.10615384615384615
0.06666666666666667,0.7,0.032857142857142856,0.09857142857142857
0.06666666666666667,0.75,0.030666666666666665,0.092
0.06666666666666667,0.8,0.02875,0.08625
0.06666666666666667,0.85,0.05647058823529412,0.0811764705882353
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.08,0.14
0.06666666666666667,0.1,0.06,0.15
0.06666666666666667,0.15,0.06,0.17333333333333334
0.06666666666666667,0.2,0.065,0.165
0.06666666666666667,0.25,0.068,0.172
0.06666666666666667,0.3,0.07333333333333333,0.16666666666666666
0.06666666666666667,0.35,0.06571428571428571,0.17142857142857143
0.06666666666666667,0.4,0.0575,0.1625
0.06666666666666667,0.45,0.051111111111111114,0.14444444444444443
0.06666666666666667,0.5,0.046,0.13
0.06666666666666667,0.55,0.04181818181818182,0.11818181818181818
0.06666666666666667,0.6,0.03833333333333333,0.10833333333333334
0.06666666666666667,0.65,0.03538461538461538,0.1
0.06666666666666667,0.7,0.032857142857142856,0.09285714285714286
0.06666666666666667,0.75,0.030666666666666665,0.08666666666666667
0.06666666666666667,0.8,0.02875,0.08125
0.06666666666666667,0.85,0.0611764705882353,0.07647058823529412
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.06,0.26
0.06666666666666667,0.1,0.05,0.24
0.06666666666666667,0.15,0.06,0.19333333333333333
0.06666666666666667,0.2,0.055,0.18
0.06666666666666667,0.25,0.06,0.2
0.06666666666666667,0.3,0.06333333333333334,0.18666666666666668
0.06666666666666667,0.35,0.06571428571428571,0.18571428571428572
0.06666666666666667,0.4,0.06,0.1775
0.06666666666666667,0.45,0.05333333333333334,0.15777777777777777
0.06666666666666667,0.5,0.048,0.142
0.06666666666666667,0.55,0.04363636363636364,0.1290909090909091
0.06666666666666667,0.6,0.04,0.11833333333333333
0.06666666666666667,0.65,0.036923076923076927,0.10923076923076923
0.06666666666666667,0.7,0.03428571428571429,0.10142857142857142
0.06666666666666667,0.75,0.032,0.09466666666666666
0.06666666666666667,0.8,0.03,0.08875
0.06666666666666667,0.85,0.05411764705882353,0.08352941176470588
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.16,0.16
0.06666666666666667,0.1,0.1,0.15
0.06666666666666667,0.15,0.07333333333333333,0.16
0.06666666666666667,0.2,0.07,0.155
0.06666666666666667,0.25,0.064,0.164
0.06666666666666667,0.3,0.06,0.17333333333333334
0.06666666666666667,0.35,0.06,0.18
0.06666666666666667,0.4,0.0575,0.165
0.06666666666666667,0.45,0.051111111111111114,0.14666666666666667
0.06666666666666667,0.5,0.046,0.132
0.06666666666666667,0.55,0.04181818181818182,0.12
0.06666666666666667,0.6,0.03833333333333333,0.11
0.06666666666666667,0.65,0.03538461538461538,0.10153846153846154
0.06666666666666667,0.7,0.032857142857142856,0.09428571428571429
0.06666666666666667,0.75,0.030666666666666665,0.088
0.06666666666666667,0.8,0.02875,0.0825
0.06666666666666667,0.85,0.06,0.07764705882352942
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.02,0.08
0.06666666666666667,0.1,0.04,0.1
0.06666666666666667,0.15,0.04666666666666667,0.11333333333333333
0.06666666666666667,0.2,0.055,0.13
0.06666666666666667,0.25,0.052,0.148
0.06666666666666667,0.3,0.05333333333333334,0.15
0.06666666666666667,0.35,0.06,0.16285714285714287
0.06666666666666667,0.4,0.06,0.1625
0.06666666666666667,0.45,0.05333333333333334,0.14444444444444443
0.06666666666666667,0.5,0.048,0.13
0.06666666666666667,0.55,0.04363636363636364,0.11818181818181818
0.06666666666666667,0.6,0.04,0.10833333333333334
0.06666666666666667,0.65,0.036923076923076927,0.1
0.06666666666666667,0.7,0.03428571428571429,0.09285714285714286
0.06666666666666667,0.75,0.032,0.08666666666666667
0.06666666666666667,0.8,0.03,0.08125
0.06666666666666667,0.85,0.0611764705882353,0.07647058823529412
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.08,0.12
0.06666666666666667,0.1,0.06,0.16
0.06666666666666667,0.15,0.08666666666666667,0.17333333333333334
0.06666666666666667,0.2,0.08,0.185
0.06666666666666667,0.25,0.076,0.188
0.06666666666666667,0.3,0.07,0.19333333333333333
0.06666666666666667,0.35,0.06857142857142857,0.18857142857142858
0.06666666666666667,0.4,0.065,0.195
0.06666666666666667,0.45,0.057777777777777775,0.17333333333333334
0.06666666666666667,0.5,0.052,0.156
0.06666666666666667,0.55,0.04727272727272727,0.14181818181818182
0.06666666666666667,0.6,0.043333333333333335,0.13
0.06666666666666667,0.65,0.04,0.12
0.06666666666666667,0.7,0.037142857142857144,0.11142857142857143
0.06666666666666667,0.75,0.034666666666666665,0.104
0.06666666666666667,0.8,0.0325,0.0975
0.06666666666666667,0.85,0.04588235294117647,0.09176470588235294
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.02,0.16
0.06666666666666667,0.1,0.03,0.24
0.06666666666666667,0.15,0.06666666666666667,0.22
0.06666666666666667,0.2,0.085,0.19
0.06666666666666667,0.25,0.076,0.196
0.06666666666666667,0.3,0.07,0.19
0.06666666666666667,0.35,0.06857142857142857,0.19428571428571428
0.06666666666666667,0.4,0.0625,0.185
0.06666666666666667,0.45,0.05555555555555555,0.16444444444444445
0.06666666666666667,0.5,0.05,0.148
0.06666666666666667,0.55,0.045454545454545456,0.13454545454545455
0.06666666666666667,0.6,0.041666666666666664,0.12333333333333334
0.06666666666666667,0.65,0.038461538461538464,0.11384615384615385
0.06666666666666667,0.7,0.03571428571428571,0.10571428571428572
0.06666666666666667,0.75,0.03333333333333333,0.09866666666666667
0.06666666666666667,0.8,0.03125,0.0925
0.06666666666666667,0.85,0.05058823529411765,0.08705882352941176
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.02,0.18
0.06666666666666667,0.1,0.05,0.12
0.06666666666666667,0.15,0.06666666666666667,0.16
0.06666666666666667,0.2,0.085,0.16
0.06666666666666667,0.25,0.072,0.176
0.06666666666666667,0.3,0.07333333333333333,0.18333333333333332
0.06666666666666667,0.35,0.07142857142857142,0.18
0.06666666666666667,0.4,0.0625,0.1575
0.06666666666666667,0.45,0.05555555555555555,0.14
0.06666666666666667,0.5,0.05,0.126
0.06666666666666667,0.55,0.045454545454545456,0.11454545454545455
0.06666666666666667,0.6,0.041666666666666664,0.105
0.06666666666666667,0.65,0.038461538461538464,0.09692307692307692
0.06666666666666667,0.7,0.03571428571428571,0.09
0.06666666666666667,0.75,0.03333333333333333,0.084
0.06666666666666667,0.8,0.03125,0.07875
0.06666666666666667,0.85,0.06352941176470588,0.07411764705882352
0.06666666666666667,0.9,0.07444444444444444,0.1111111111111111
0.06666666666666667,0.95,0.07052631578947369,0.15789473684210525
0.06666666666666667,1.0,0.067,0.2
0.06666666666666667,0.05,0.08,0.14
0.06666666666666667,0.1,0.09,0.12
0.06666666666666667,0.15,0.08666666666666667,0.16666666666666666
0.06666666666666667,0.2,0.09,0.19
0.06666666666666667,0.25,0.08,0.208
0.06666666666666667,0.3,0.07333333333333333,0.20666666666666667
0.06666666666666667,0.35,0.06857142857142857,0.21142857142857144
0.06666666666666667,0.4,0.06,0.185
0.06666666666666667,0.45,0.05333333333333334,0.16444444444444445
0.06666666666666667,0.5,0.048,0.148
0.06666666666666667,0.55,0.04363636363636364,0.13454545454545455
0.06666666666666667,0.6,0.04,0.12333333333333334
0.06666666666666667,0.65,0.036923076923076927,0.11384615384615385
