hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.0,0.11111111111111112,0.02,0.1,0.5555555555555556,0.12000000000000001,1.125
0.0,0.11111111111111112,0.0,0.06,0.5555555555555556,0.06,0.6749999999999999
0.0,0.11111111111111112,0.0,0.0,0.5555555555555556,0.0,0.0
0.0,0.11111111111111112,0.02,0.08,0.5555555555555556,0.1,0.9
0.0,0.11111111111111112,0.0,0.0,0.5555555555555556,0.0,0.0
0.0,0.11111111111111112,0.0,0.06,0.5555555555555556,0.06,0.6749999999999999
0.0,0.11111111111111112,0.04,0.04,0.5555555555555556,0.08,0.45
0.0,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.0,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.13333333333333333,0.02,0.08,0.6666666666666666,0.1,1.1999999999999997
0.0,0.13333333333333333,0.02,0.04,0.6666666666666666,0.06,0.5999999999999999
0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.13333333333333333,0.04,0.08,0.6666666666666666,0.12,1.1999999999999997
0.0,0.13333333333333333,0.0,0.02,0.6666666666666666,0.02,0.29999999999999993
0.0,0.13333333333333333,0.0,0.02,0.6666666666666666,0.02,0.29999999999999993
0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
0.0,0.13333333333333333,0.0,0.04,0.6666666666666666,0.04,0.5999999999999999
0.0,0.13333333333333333,0.02,0.02,0.6666666666666666,0.04,0.29999999999999993
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.0,0.02,0.7777777777777778,0.02,0.4499999999999999
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.0,0.0,0.7777777777777778,0.0,0.0
0.0,0.15555555555555556,0.0,0.02,0.7777777777777778,0.02,0.4499999999999999
0.0,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.0,0.15555555555555556,0.04,0.04,0.7777777777777778,0.08,0.8999999999999998
0.0,0.15555555555555556,0.02,0.04,0.7777777777777778,0.06,0.8999999999999998
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.04,0.04,0.8888888888888888,0.08,1.7999999999999996
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.02,0.8888888888888888,0.02,0.8999999999999998
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
